Country,GDP_USD_billions
Americas,26854.6
Asia,19373.59
Asia,4409.74
Europe,4308.85
Asia,3736.88
Europe,3158.94
Europe,2923.49
Europe,2169.74
Americas,2089.67
Americas,2081.24
Europe,2062.65
Asia,1721.91
Oceania,1707.55
Americas,1663.16
Europe,1492.43
Asia,1391.78
Europe,1080.88
Asia,1061.9
Asia,1029.3
Europe,869.6
Asia,790.73
Europe,748.89
Americas,641.1
Europe,624.25
Europe,599.05
Europe,594.1
Asia,574.23
Europe,554.1
Asia,539.22
Asia,515.55
Europe,515.2
Africa,506.6
Asia,498.98
Asia,449.09
Asia,447.03
Asia,440.9
Asia,420.52
Europe,405.63
Africa,399.02
Asia,382.85
Africa,378.11
Asia,367.97
Americas,358.56
Europe,348.9
Americas,334.69
Europe,330.48
Europe,301.67
Americas,268.24
Asia,267.89
Europe,267.72
Oceania,251.97
Asia,245.7
Europe,239.3
Asia,219.57
Africa,206.01
Europe,188.5
Asia,164.71
Africa,156.08
Europe,148.71
Africa,138.78
Europe,127.53
Americas,121.29
Americas,121.29
Americas,120.84
Africa,118.13
Africa,117.88
Asia,104.9
Americas,102.31
Europe,100.64
Americas,96.63
Asia,92.33
Europe,86.97
Africa,85.42
Asia,82.65
Europe,78.88
Europe,78.35
Americas,77.78
Americas,77.31
Americas,77.26
Africa,77.05
Europe,73.96
Europe,73.54
Asia,70.03
Africa,69.47
Europe,68.11
Africa,66.62
Asia,63.99
Asia,52.06
Africa,49.82
Africa,49.79
Africa,48.62
Europe,47.4
Africa,46.7
Africa,46.3
Americas,46.1
Asia,44.87
Americas,42.82
Asia,42.1
Europe,41.55
Asia,35.84
Americas,33.75
Americas,32.86
Oceania,31.36
Africa,31.22
Asia,30.86
Asia,30.63
Africa,29.93
Africa,29.27
Europe,28.62
Europe,28.49
Americas,28.22
Europe,27.95
Americas,26.58
Asia,23.72
Africa,23.33
Africa,21.08
Africa,20.78
Africa,20.33
Europe,20.18
Africa,19.91
Asia,19.21
Africa,19.57
Asia,19.53
Europe,19.4
Africa,19.24
Americas,17.29
Americas,17.25
Asia,16.91
Africa,16.62
Americas,16.31
Asia,15.99
Africa,15.97
Europe,15.83
Europe,15.28
Africa,15.1
Africa,14.57
Americas,14.11
Asia,14.09
Africa,13.49
Africa,13.15
Africa,13.03
Asia,12.8
Asia,12.31
Africa,11.96
Africa,11.28
Africa,10.97
Europe,9.99
Africa,9.0
Africa,8.74
Europe,7.03
Africa,7.01
Asia,7.0
Americas,6.12
Oceania,5.38
Africa,4.82
Africa,4.38
Africa,3.92
Europe,3.67
Americas,3.63
Africa,3.52
Americas,3.47
Africa,3.23
Americas,3.16
Africa,2.74
Asia,2.68
Africa,2.67
Africa,2.58
Africa,2.47
Africa,2.28
Americas,2.26
Asia,1.99
Africa,1.95
Africa,1.89
Americas,1.86
Europe,1.81
Oceania,1.7
Africa,1.35
Americas,1.27
Oceania,1.06
Americas,1.05
Americas,1.04
Oceania,0.9
Americas,0.68
Africa,0.62
Oceania,0.54
Oceania,0.46
Oceania,0.29
Oceania,0.26
Oceania,0.25
Oceania,0.15
Oceania,0.06
